epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.574,0.62477,1.07439,1.04712,0.33974,0.80373,0.36014,0.30629,0.71793,1.15567,1.15991,0.000472831,0.000472831,0.000472831
2,562.041,0.71141,1.1489,1.08914,0.3115,0.82225,0.36498,0.29579,0.78808,1.16924,1.21336,0.000944466,0.000944466,0.000944466
3,841.158,0.81713,1.22251,1.14925,0.31125,0.88725,0.36064,0.28552,0.85886,1.23498,1.22625,0.00141139,0.00141139,0.00141139
4,1121.4,0.86869,1.24954,1.18316,0.3091,0.83403,0.44082,0.35523,0.89732,1.26554,1.28822,0.00140778,0.00140778,0.00140778
5,1400.68,0.87354,1.2863,1.18459,0.27145,0.87823,0.35512,0.27507,0.84073,1.28613,1.20735,0.00140071,0.00140071,0.00140071
6,1681.07,0.89717,1.30281,1.20921,0.29573,0.86181,0.37319,0.29613,0.88183,1.33616,1.29102,0.00139363,0.00139363,0.00139363
7,1960.47,0.86074,1.27595,1.17272,0.30934,0.8649,0.3945,0.31599,0.82402,1.17616,1.22087,0.00138656,0.00138656,0.00138656
8,2239.89,0.88189,1.28079,1.20757,0.30545,0.85718,0.40389,0.33158,0.83146,1.20427,1.21553,0.00137949,0.00137949,0.00137949
9,2519.28,0.86469,1.26606,1.19955,0.32738,0.79966,0.38048,0.30707,0.77651,1.20748,1.19041,0.00137241,0.00137241,0.00137241
10,2798.34,0.87419,1.22691,1.19676,0.32356,0.90679,0.37683,0.30616,0.85934,1.36147,1.25899,0.00136534,0.00136534,0.00136534
11,3077.38,0.86428,1.29165,1.18485,0.33537,0.87514,0.39979,0.32922,0.82409,1.21411,1.21867,0.00135826,0.00135826,0.00135826
12,3356.15,0.87036,1.26414,1.18862,0.32631,0.91506,0.36518,0.28151,0.92297,1.21545,1.27845,0.00135119,0.00135119,0.00135119
13,3635.35,0.85011,1.23496,1.16934,0.32984,0.84478,0.40467,0.33223,0.77032,1.16354,1.19307,0.00134412,0.00134412,0.00134412
14,3914.67,0.8514,1.27941,1.1784,0.3291,0.94061,0.39279,0.32487,0.80212,1.17505,1.20969,0.00133704,0.00133704,0.00133704
15,4193.61,0.84761,1.225,1.1759,0.32298,0.90204,0.36158,0.28928,0.82883,1.18509,1.21771,0.00132997,0.00132997,0.00132997
16,4472.83,0.85097,1.23075,1.1839,0.31207,0.84947,0.34581,0.27612,0.90742,1.20236,1.29658,0.0013229,0.0013229,0.0013229
17,4751.62,0.82811,1.26937,1.1504,0.32538,0.90561,0.40407,0.32736,0.84583,1.22132,1.21682,0.00131582,0.00131582,0.00131582
18,5030.65,0.8403,1.25429,1.17387,0.32824,0.84836,0.3744,0.3011,0.85235,1.20166,1.25222,0.00130875,0.00130875,0.00130875
19,5309.74,0.81013,1.24885,1.15033,0.3023,0.84235,0.34812,0.28389,0.78071,1.1991,1.18369,0.00130168,0.00130168,0.00130168
20,5588.56,0.80903,1.20383,1.15759,0.32145,0.83151,0.36434,0.30518,0.74973,1.1784,1.16132,0.0012946,0.0012946,0.0012946
21,5867.28,0.80407,1.25193,1.1522,0.31995,0.88784,0.36221,0.29201,0.78959,1.192,1.18483,0.00128753,0.00128753,0.00128753
22,6146.02,0.79386,1.18036,1.13543,0.33233,0.8924,0.38293,0.31514,0.81751,1.18566,1.22756,0.00128046,0.00128046,0.00128046
23,6424.9,0.79878,1.22213,1.14074,0.31281,0.88594,0.3577,0.28533,0.76374,1.20828,1.15967,0.00127338,0.00127338,0.00127338
24,6703.66,0.78936,1.2063,1.1502,0.33225,0.90081,0.37046,0.30814,0.78934,1.18715,1.22995,0.00126631,0.00126631,0.00126631
25,6982.38,0.78331,1.18436,1.13727,0.32943,0.87498,0.37696,0.30855,0.80372,1.15642,1.20601,0.00125923,0.00125923,0.00125923
26,7261.2,0.81291,1.20742,1.15389,0.31959,0.87552,0.43353,0.35999,0.79426,1.15848,1.20579,0.00125216,0.00125216,0.00125216
27,7539.82,0.81297,1.21991,1.14783,0.31891,0.91625,0.39608,0.33103,0.7461,1.18523,1.16175,0.00124509,0.00124509,0.00124509
28,7818.41,0.80022,1.21061,1.13587,0.31391,0.85883,0.38181,0.31077,0.75505,1.18121,1.17855,0.00123801,0.00123801,0.00123801
29,8097.55,0.7669,1.18841,1.12369,0.31416,0.91506,0.36285,0.29887,0.76036,1.18358,1.16842,0.00123094,0.00123094,0.00123094
30,8376.66,0.7835,1.21461,1.13756,0.33582,0.87858,0.35687,0.29619,0.76555,1.13928,1.18107,0.00122387,0.00122387,0.00122387
31,8655.97,0.796,1.1793,1.14635,0.32898,0.9147,0.35741,0.30038,0.75215,1.15677,1.1721,0.00121679,0.00121679,0.00121679
32,8935.07,0.76689,1.16002,1.12965,0.31163,0.92396,0.35918,0.2934,0.78524,1.14912,1.18651,0.00120972,0.00120972,0.00120972
33,9213.93,0.76835,1.15717,1.12404,0.3179,0.8531,0.38434,0.31828,0.78464,1.1453,1.22575,0.00120265,0.00120265,0.00120265
34,9492.83,0.75469,1.17625,1.11505,0.32426,0.91336,0.37963,0.31053,0.75686,1.16005,1.1675,0.00119557,0.00119557,0.00119557
35,9773.65,0.74605,1.15295,1.10617,0.32369,0.8952,0.37188,0.31413,0.72866,1.12683,1.16419,0.0011885,0.0011885,0.0011885
36,10053.2,0.76441,1.17159,1.11814,0.32785,0.89148,0.42189,0.35556,0.78273,1.13832,1.19928,0.00118143,0.00118143,0.00118143
37,10332.3,0.77089,1.18123,1.13286,0.3276,0.8863,0.37871,0.32381,0.7454,1.16904,1.15122,0.00117435,0.00117435,0.00117435
38,10611.8,0.74554,1.18012,1.11513,0.31656,0.8863,0.35973,0.29926,0.74688,1.14492,1.16737,0.00116728,0.00116728,0.00116728
39,10890.9,0.7407,1.15702,1.10303,0.3063,0.75342,0.3785,0.31688,0.77148,1.15669,1.19372,0.00116021,0.00116021,0.00116021
40,11170.4,0.7428,1.15046,1.10488,0.32776,0.89366,0.3644,0.30442,0.71513,1.11315,1.1578,0.00115313,0.00115313,0.00115313
41,11449.4,0.7437,1.13082,1.11505,0.33858,0.88587,0.353,0.29433,0.74042,1.16568,1.16271,0.00114606,0.00114606,0.00114606
42,11728.8,0.73806,1.15241,1.11038,0.33981,0.8858,0.35755,0.30578,0.7238,1.13916,1.16491,0.00113898,0.00113898,0.00113898
43,12007.7,0.76233,1.14584,1.11582,0.33271,0.89326,0.37118,0.30819,0.72523,1.12581,1.15672,0.00113191,0.00113191,0.00113191
44,12286.5,0.72817,1.13002,1.104,0.33179,0.88994,0.36137,0.30425,0.71929,1.15056,1.15085,0.00112484,0.00112484,0.00112484
45,12565.7,0.73075,1.15775,1.10743,0.32463,0.91687,0.3818,0.31835,0.76685,1.15632,1.20108,0.00111776,0.00111776,0.00111776
46,12844.7,0.69622,1.10377,1.08652,0.3313,0.92396,0.36274,0.31065,0.71269,1.13683,1.14861,0.00111069,0.00111069,0.00111069
47,13124.2,0.73045,1.13508,1.10159,0.32341,0.89366,0.35226,0.29501,0.74147,1.13438,1.17513,0.00110362,0.00110362,0.00110362
48,13403,0.75559,1.15281,1.11524,0.33976,0.90852,0.36323,0.30453,0.76023,1.14901,1.17106,0.00109654,0.00109654,0.00109654
49,13681.9,0.71161,1.12096,1.08827,0.32933,0.82843,0.37572,0.32182,0.71833,1.14243,1.15267,0.00108947,0.00108947,0.00108947
50,13961.6,0.72127,1.11228,1.093,0.33478,0.89313,0.36699,0.30891,0.70715,1.11798,1.13607,0.0010824,0.0010824,0.0010824
51,14240.7,0.72527,1.15367,1.09843,0.34016,0.8844,0.36759,0.31558,0.70209,1.1316,1.14086,0.00107532,0.00107532,0.00107532
52,14519.9,0.72611,1.15425,1.09375,0.32602,0.88594,0.3465,0.29385,0.70682,1.163,1.1338,0.00106825,0.00106825,0.00106825
53,14799,0.72818,1.1581,1.09096,0.33203,0.88903,0.35127,0.29355,0.71054,1.09838,1.14481,0.00106118,0.00106118,0.00106118
