epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.716,1.02263,4.55956,1.31468,0.61398,0.37666,0.24234,0.16813,1.23625,4.64518,1.56306,0.000472831,0.000472831,0.000472831
2,577.042,1.28064,3.57792,1.46738,0.48947,0.33179,0.17929,0.09909,1.6871,3.76028,1.87952,0.000855197,0.000855197,0.000855197
3,859.903,1.40086,2.8255,1.56774,0.56609,0.2938,0.29517,0.17755,1.59249,3.06499,1.77492,0.00114325,0.00114325,0.00114325
4,1139.79,1.38511,2.24162,1.5129,0.5782,0.37388,0.29129,0.19103,1.40123,2.27435,1.62313,0.00100459,0.00100459,0.00100459
5,1428.86,1.23609,2.00097,1.44084,0.59012,0.43815,0.33823,0.21435,1.34047,2.02612,1.5119,0.000863116,0.000863116,0.000863116
6,1710.61,1.15494,1.74444,1.36487,0.59648,0.54333,0.35533,0.25683,1.09406,1.71986,1.33007,0.000721645,0.000721645,0.000721645
7,1992.21,1.03494,1.55364,1.27858,0.62463,0.55009,0.36868,0.28512,0.99651,1.51273,1.29965,0.000580174,0.000580174,0.000580174
8,2274.85,0.97609,1.41702,1.23581,0.32646,0.86065,0.3999,0.30812,0.92817,1.38972,1.24957,0.000438703,0.000438703,0.000438703
9,2554.18,0.87465,1.3361,1.17786,0.34166,0.76812,0.44017,0.35491,0.87273,1.32199,1.21828,0.000297232,0.000297232,0.000297232
10,2835.87,0.79185,1.26214,1.13254,0.33282,0.77944,0.44011,0.36683,0.80934,1.27992,1.16364,0.000155761,0.000155761,0.000155761
