epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.76,1.11455,3.47458,1.32836,0.50955,0.23152,0.19634,0.12412,1.58959,4.84099,2.05886,0.000472831,0.000472831,0.000472831
2,567.337,1.31214,2.91388,1.46476,0.53354,0.2189,0.17046,0.10568,1.43936,3.65545,1.64911,0.000939767,0.000939767,0.000939767
3,847.077,1.46161,2.52875,1.58536,0.7584,0.11728,0.19202,0.09252,1.70829,3.4781,1.96575,0.00139727,0.00139727,0.00139727
4,1127.4,1.486,2.28709,1.60183,0.54461,0.3292,0.20273,0.12705,1.59826,2.84225,1.7591,0.00138656,0.00138656,0.00138656
5,1406.67,1.42561,2.13273,1.53648,0.57408,0.38763,0.25015,0.14305,1.48017,2.47894,1.68071,0.00137241,0.00137241,0.00137241
6,1687.41,1.39506,1.99647,1.51364,0.6095,0.41524,0.35498,0.21217,1.30077,2.16712,1.54403,0.00135826,0.00135826,0.00135826
7,1967.06,1.35341,1.92006,1.4788,0.59869,0.47448,0.30912,0.19306,1.30508,1.90413,1.52228,0.00134412,0.00134412,0.00134412
8,2246.39,1.34126,1.85994,1.4928,0.60932,0.44748,0.27361,0.17757,1.36252,1.77877,1.5876,0.00132997,0.00132997,0.00132997
9,2525.55,1.33082,1.81844,1.47991,0.60808,0.3427,0.31729,0.173,1.65264,2.47401,1.84199,0.00131582,0.00131582,0.00131582
10,2804.26,1.25006,1.72899,1.43939,0.27594,0.86782,0.41918,0.29444,1.18729,1.80088,1.46754,0.00130168,0.00130168,0.00130168
11,3082.97,1.24681,1.7808,1.41845,0.59736,0.45836,0.3351,0.23118,1.14069,1.71347,1.44998,0.00128753,0.00128753,0.00128753
12,3362.36,1.23697,1.70595,1.39959,0.34439,0.66956,0.38785,0.22734,1.18959,1.66542,1.46477,0.00127338,0.00127338,0.00127338
13,3641.34,1.18218,1.66022,1.38315,0.61024,0.53549,0.33691,0.22452,1.16376,1.64408,1.48135,0.00125923,0.00125923,0.00125923
14,3920.29,1.13934,1.65606,1.35816,0.30107,0.86378,0.39897,0.27908,1.12296,1.59494,1.3844,0.00124509,0.00124509,0.00124509
15,4199.35,1.13824,1.58871,1.36691,0.25512,0.62947,0.3671,0.26826,1.04975,1.51726,1.34246,0.00123094,0.00123094,0.00123094
